,,,,,
ZIP Code,Zip,City,Population,Timezone,Area Code(s)
ZIP Code 98001,98001,Auburn,"31,911",Pacific,253
ZIP Code 98002,98002,Auburn,"31,647",Pacific,253
ZIP Code 98003,98003,Federal Way,"44,151",Pacific,253
ZIP Code 98004,98004,Bellevue,"27,946",Pacific,425
ZIP Code 98005,98005,Bellevue,"17,714",Pacific,425
ZIP Code 98006,98006,Bellevue,"36,364",Pacific,425
ZIP Code 98007,98007,Bellevue,"24,889",Pacific,425
ZIP Code 98008,98008,Bellevue,"24,411",Pacific,425
ZIP Code 98009,98009,Bellevue,0,Pacific,425
ZIP Code 98010,98010,Black Diamond,"5,025",Pacific,360/564
ZIP Code 98011,98011,Bothell,"29,212",Pacific,425
ZIP Code 98013,98013,Burton,0,Pacific,206
ZIP Code 98014,98014,Carnation,"6,765",Pacific,425
ZIP Code 98015,98015,Bellevue,0,Pacific,425
ZIP Code 98019,98019,Duvall,"10,725",Pacific,425
ZIP Code 98022,98022,Enumclaw,"20,987",Pacific,360/564
ZIP Code 98023,98023,Federal Way,"47,510",Pacific,253
ZIP Code 98024,98024,Fall City,"5,650",Pacific,425
ZIP Code 98025,98025,Hobart,0,Pacific,425
ZIP Code 98027,98027,Issaquah,"26,141",Pacific,425
ZIP Code 98028,98028,Kenmore,"20,419",Pacific,425
ZIP Code 98029,98029,Issaquah,"24,348",Pacific,425
ZIP Code 98030,98030,Kent,"33,769",Pacific,253
ZIP Code 98031,98031,Kent,"36,581",Pacific,253/425
ZIP Code 98032,98032,Kent,"33,853",Pacific,253/425
ZIP Code 98033,98033,Kirkland,"34,338",Pacific,425/206
ZIP Code 98034,98034,Kirkland,"40,407",Pacific,425/206
ZIP Code 98035,98035,Kent,0,Pacific,253/425
ZIP Code 98038,98038,Maple Valley,"31,171",Pacific,425
ZIP Code 98039,98039,Medina,"2,971",Pacific,425
ZIP Code 98040,98040,Mercer Island,"22,699",Pacific,206
ZIP Code 98041,98041,Bothell,0,Pacific,425
ZIP Code 98042,98042,Kent,"43,673",Pacific,253/425
ZIP Code 98045,98045,North Bend,"13,888",Pacific,425
ZIP Code 98047,98047,Pacific,"6,339",Pacific,253
ZIP Code 98050,98050,Preston,322,Pacific,425
ZIP Code 98051,98051,Ravensdale,"3,270",Pacific,360/564
ZIP Code 98052,98052,Redmond,"58,442",Pacific,206/425
ZIP Code 98053,98053,Redmond,"18,784",Pacific,425/206
ZIP Code 98055,98055,Renton,"21,904",Pacific,425
ZIP Code 98056,98056,Renton,"32,489",Pacific,425
ZIP Code 98057,98057,Renton,"10,613",Pacific,425
ZIP Code 98058,98058,Renton,"41,938",Pacific,425
ZIP Code 98059,98059,Renton,"34,463",Pacific,425
ZIP Code 98062,98062,Seahurst,0,Pacific,206/253
ZIP Code 98063,98063,Federal Way,0,Pacific,253
ZIP Code 98064,98064,Kent,0,Pacific,253/425
ZIP Code 98065,98065,Snoqualmie,"12,699",Pacific,425
ZIP Code 98070,98070,Vashon,"10,624",Pacific,206
ZIP Code 98071,98071,Auburn,0,Pacific,253
ZIP Code 98072,98072,Woodinville,"22,312",Pacific,425
ZIP Code 98073,98073,Redmond,0,Pacific,206/425
ZIP Code 98074,98074,Sammamish,"25,748",Pacific,425/206
ZIP Code 98075,98075,Sammamish,"20,715",Pacific,425
ZIP Code 98077,98077,Woodinville,"13,585",Pacific,425
ZIP Code 98083,98083,Kirkland,0,Pacific,425/206
ZIP Code 98089,98089,Kent,0,Pacific,253/425
ZIP Code 98092,98092,Auburn,"39,816",Pacific,253
ZIP Code 98093,98093,Federal Way,0,Pacific,253
ZIP Code 98101,98101,Seattle,"10,238",Pacific,206/253/360/425/564
ZIP Code 98102,98102,Seattle,"20,756",Pacific,206/360/425/564
ZIP Code 98103,98103,Seattle,"45,911",Pacific,206
ZIP Code 98104,98104,Seattle,"13,095",Pacific,206/253/360/425/564
ZIP Code 98105,98105,Seattle,"43,924",Pacific,206
ZIP Code 98106,98106,Seattle,"22,873",Pacific,206
ZIP Code 98107,98107,Seattle,"21,147",Pacific,206
ZIP Code 98108,98108,Seattle,"22,374",Pacific,206
ZIP Code 98109,98109,Seattle,"20,715",Pacific,206/425
ZIP Code 98111,98111,Seattle,0,Pacific,206/425
ZIP Code 98112,98112,Seattle,"21,077",Pacific,206/425
ZIP Code 98113,98113,Seattle,0,Pacific,206/253/360/425/564
ZIP Code 98114,98114,Seattle,0,Pacific,206/425
ZIP Code 98115,98115,Seattle,"46,206",Pacific,206
ZIP Code 98116,98116,Seattle,"22,241",Pacific,206
ZIP Code 98117,98117,Seattle,"31,365",Pacific,206
ZIP Code 98118,98118,Seattle,"42,731",Pacific,206
ZIP Code 98119,98119,Seattle,"21,039",Pacific,206
ZIP Code 98121,98121,Seattle,"12,628",Pacific,206/360/425/564
ZIP Code 98122,98122,Seattle,"31,454",Pacific,206/425
ZIP Code 98124,98124,Seattle,0,Pacific,206/425
ZIP Code 98125,98125,Seattle,"37,081",Pacific,206
ZIP Code 98126,98126,Seattle,"20,698",Pacific,206
ZIP Code 98127,98127,Seattle,0,Pacific,206/253/360/425/564
ZIP Code 98129,98129,Seattle,0,Pacific,206/425
ZIP Code 98131,98131,Seattle,0,Pacific,206
ZIP Code 98133,98133,Seattle,"44,555",Pacific,206/425
ZIP Code 98134,98134,Seattle,644,Pacific,206
ZIP Code 98136,98136,Seattle,"14,770",Pacific,206
ZIP Code 98138,98138,Seattle,0,Pacific,206/425
ZIP Code 98139,98139,Seattle,0,Pacific,206/253/360/425/564
ZIP Code 98141,98141,Seattle,0,Pacific,206/253/360/425/564
ZIP Code 98144,98144,Seattle,"26,881",Pacific,206
ZIP Code 98145,98145,Seattle,0,Pacific,206/425
ZIP Code 98146,98146,Seattle,"25,922",Pacific,206/253
ZIP Code 98148,98148,Seattle,"10,010",Pacific,253/206
ZIP Code 98154,98154,Seattle,0,Pacific,206/253/360/425/564
ZIP Code 98155,98155,Seattle,"32,778",Pacific,206/425
ZIP Code 98158,98158,Seattle,0,Pacific,206
ZIP Code 98160,98160,Seattle,0,Pacific,206/425
ZIP Code 98161,98161,Seattle,0,Pacific,206/425
ZIP Code 98164,98164,Seattle,141,Pacific,206/425
ZIP Code 98165,98165,Seattle,0,Pacific,206/253/360/425/564
ZIP Code 98166,98166,Seattle,"20,301",Pacific,206/253
ZIP Code 98168,98168,Seattle,"33,734",Pacific,206/425/253
ZIP Code 98170,98170,Seattle,0,Pacific,206/425
ZIP Code 98174,98174,Seattle,0,Pacific,206/425
ZIP Code 98175,98175,Seattle,0,Pacific,206/253/360/425/564
ZIP Code 98177,98177,Seattle,"19,030",Pacific,206/425
ZIP Code 98178,98178,Seattle,"24,092",Pacific,425/206/253
ZIP Code 98181,98181,Seattle,0,Pacific,206/425
ZIP Code 98185,98185,Seattle,0,Pacific,206/425
ZIP Code 98188,98188,Seattle,"23,111",Pacific,425/206/253
ZIP Code 98190,98190,Seattle,0,Pacific,206/425
ZIP Code 98191,98191,Seattle,0,Pacific,206/425
ZIP Code 98194,98194,Seattle,0,Pacific,206/253/360/425/564
ZIP Code 98195,98195,Seattle,0,Pacific,206
ZIP Code 98198,98198,Seattle,"34,584",Pacific,206/253
ZIP Code 98199,98199,Seattle,"19,686",Pacific,206
ZIP Code 98224,98224,Baring,294,Pacific,425
ZIP Code 98288,98288,Skykomish,333,Pacific,425